isin,ticker,currency,per_value,cpn_rate,cpn_frequency_en,cpn_qquantity,coupon_date,day_count,maturity_date,issue_date,first_payment_date,isin_class,instrument_type_en,issuer_name_en,issuer_id,list_class,isin_status_en,outst_volume,outst_volume_amd,outst_quantity,benchmark,inflation_linked
AMACBAB2EER9,ACBABE,AMD,100000.000000,9.500000,Semi-Annually,5,"[""2024-11-02"", ""2025-05-02"", ""2025-11-02"", ""2026-05-02"", ""2026-11-02""]",ACT/ACT,2026-11-02,2024-05-02,2024-11-02,Coupon bond,Debt Instrument,ACBA BANK OJSC,2,BBond,Listed,1398900000.000000,1398900000.000000,13989.000000,0,
AMACBAB2FER6,ACBABF,USD,100.000000,4.500000,Semi-Annually,5,"[""2024-11-02"", ""2025-05-02"", ""2025-11-02"", ""2026-05-02"", ""2026-11-02""]",ACT/ACT,2026-11-02,2024-05-02,2024-11-02,Coupon bond,Debt Instrument,ACBA BANK OJSC,2,BBond,Listed,3639900.000000,1331875809,36399.000000,0,
AMACBAB2GER4,ACBABG,AMD,100000.000000,11.000000,Semi-Annually,10,"[""2025-04-21"", ""2025-10-21"", ""2026-04-21"", ""2026-10-21"", ""2027-04-21"", ""2027-10-21"", ""2028-04-21"", ""2028-10-21"", ""2029-04-21"", ""2029-10-21""]",ACT/ACT,2029-10-21,2024-10-21,2025-04-21,Coupon bond,Debt Instrument,ACBA BANK OJSC,2,BBond,Listed,5000000000.000000,5000000000.000000,50000.000000,0,
AMACBAB2HER2,ACBABH,USD,100.000000,6.000000,Semi-Annually,10,"[""2025-04-21"", ""2025-10-21"", ""2026-04-21"", ""2026-10-21"", ""2027-04-21"", ""2027-10-21"", ""2028-04-21"", ""2028-10-21"", ""2029-04-21"", ""2029-10-21""]",ACT/ACT,2029-10-21,2024-10-21,2025-04-21,Coupon bond,Debt Instrument,ACBA BANK OJSC,2,BBond,Listed,13419700.000000,4910402427,134197.000000,0,
AMACBAB2IER0,ACBABI,AMD,100000.000000,10.500000,Semi-Annually,10,"[""2025-05-11"", ""2025-11-11"", ""2026-05-11"", ""2026-11-11"", ""2027-05-11"", ""2027-11-11"", ""2028-05-11"", ""2028-11-11"", ""2029-05-11"", ""2029-11-11""]",ACT/ACT,2029-11-11,2024-11-11,2025-05-11,Coupon bond,Debt Instrument,ACBA BANK OJSC,2,BBond,Listed,5000000000.000000,5000000000.000000,50000.000000,0,
AMACBAB2JER8,ACBABJ,AMD,100000.000000,9.500000,Semi-Annually,6,"[""2025-08-20"", ""2026-02-20"", ""2026-08-20"", ""2027-02-20"", ""2027-08-20"", ""2028-02-20""]",ACT/ACT,2028-02-20,2025-02-20,2025-08-20,Coupon bond,Debt Instrument,ACBA BANK OJSC,2,BBond,Listed,1116800000.000000,1116800000.000000,11168.000000,0,
AMACBAB2KER6,ACBABK,AMD,100000.000000,10.000000,Semi-Annually,10,"[""2025-08-20"", ""2026-02-20"", ""2026-08-20"", ""2027-02-20"", ""2027-08-20"", ""2028-02-20"", ""2028-08-20"", ""2029-02-20"", ""2029-08-20"", ""2030-02-20""]",ACT/ACT,2030-02-20,2025-02-20,2025-08-20,Coupon bond,Debt Instrument,ACBA BANK OJSC,2,BBond,Listed,2320400000.000000,2320400000.000000,23204.000000,0,
AMACBAB2LER4,ACBABL,AMD,100000.000000,10.500000,Semi-Annually,10,"[""2026-02-25"", ""2026-08-25"", ""2027-02-25"", ""2027-08-25"", ""2028-02-25"", ""2028-08-25"", ""2029-02-25"", ""2029-08-25"", ""2030-02-25"", ""2030-08-25""]",ACT/ACT,2030-08-25,2025-08-20,2026-02-25,Coupon bond,Debt Instrument,ACBA BANK OJSC,2,BBond,Listed,10000000000.000000,10000000000.000000,100000.000000,0,
AMACBAB2MER2,ACBABM,USD,100.000000,5.500000,Semi-Annually,10,"[""2026-02-25"", ""2026-08-25"", ""2027-02-25"", ""2027-08-25"", ""2028-02-25"", ""2028-08-25"", ""2029-02-25"", ""2029-08-25"", ""2030-02-25"", ""2030-08-25""]",ACT/ACT,2030-08-25,2025-08-25,2026-02-25,Coupon bond,Debt Instrument,ACBA BANK OJSC,2,BBond,Listed,10000000.000000,3659100000.0000005,100000.000000,0,
AMACBAB2NER0,ACBABN,AMD,100000.000000,10.500000,Semi-Annually,10,"[""2026-07-15"", ""2027-01-15"", ""2027-07-15"", ""2028-01-15"", ""2028-07-15"", ""2029-01-15"", ""2029-07-15"", ""2030-01-15"", ""2030-07-15"", ""2031-01-15""]",ACT/ACT,2031-01-15,2026-01-15,2026-07-15,Coupon bond,Debt Instrument,ACBA BANK OJSC,2,BBond,Listed,10000000000.000000,10000000000.000000,100000.000000,0,
